transactionDay,accountId,avg(transactionAmount)
1,A1,227.64
1,A10,490.755
1,A13,829.4
1,A14,425.37000000000006
1,A16,653.4166666666666
1,A17,788.24
1,A18,379.86
1,A19,14.42
1,A2,775.37
1,A20,490.24
1,A21,857.83
1,A23,416.36
1,A25,291.76
1,A27,338.11
1,A29,439.49
1,A31,115.88
1,A32,392.1
1,A33,228.16666666666666
1,A34,738.28
1,A35,571.3975
1,A4,608.755
1,A40,435.5
1,A41,181.65
1,A42,576.23
1,A43,662.9025
1,A44,592.3225
1,A45,662.98
1,A46,652.395
1,A47,400.42
1,A48,193.57
1,A49,848.9
1,A5,452.07
1,A7,650.23
2,A10,747.62
2,A11,597.085
2,A12,683.87
2,A13,239.33333333333334
2,A15,440.95500000000004
2,A17,533.15
2,A21,196.505
2,A23,572.8299999999999
2,A24,298.56
2,A27,759.105
2,A28,303.61
2,A29,378.54499999999996
2,A3,486.81
2,A30,958.29
2,A31,748.48
2,A33,51.39
2,A34,289.96000000000004
2,A35,735.53
2,A37,338.21
2,A4,659.49
2,A40,633.84
2,A42,767.11
2,A46,524.495
2,A48,797.19
2,A49,378.71
2,A5,171.3
2,A6,503.78
2,A7,367.0
2,A8,371.8616666666667
2,A9,574.89
3,A12,586.62
3,A14,624.94
3,A18,157.28
3,A20,877.24
3,A23,133.42
3,A26,43.57
3,A28,530.93
3,A29,997.18
3,A3,662.11
3,A30,659.49
3,A34,627.89
3,A36,197.62
3,A39,982.64
3,A41,775.15
3,A44,501.71
3,A45,588.0533333333334
3,A5,736.5
4,A1,977.98
4,A10,132.46
4,A12,510.25
4,A13,611.9
4,A14,755.6999999999999
4,A15,355.06
4,A16,874.84
4,A17,614.56
4,A18,708.975
4,A2,352.995
4,A21,706.5450000000001
4,A23,647.12
4,A26,286.975
4,A28,460.33000000000004
4,A29,827.53
4,A3,928.88
4,A31,528.04
4,A32,539.2033333333334
4,A33,614.335
4,A34,143.58
4,A35,810.77
4,A36,365.375
4,A37,650.9866666666666
4,A38,370.08666666666664
4,A39,332.78
4,A40,817.75
4,A41,427.26
4,A42,387.29
4,A43,348.56666666666666
4,A45,940.41
4,A46,265.725
4,A5,948.31
4,A6,805.1800000000001
4,A7,203.34
4,A9,749.09
5,A1,171.19
5,A16,761.67
5,A2,624.25
5,A29,888.75
5,A34,653.37
5,A40,827.4
5,A41,777.29
5,A42,174.04
5,A47,900.67
6,A10,247.24
6,A12,223.49
6,A13,150.04
6,A16,873.61
6,A19,612.81
6,A2,625.73
6,A20,982.0350000000001
6,A21,808.6333333333333
6,A22,125.64
6,A24,675.99
6,A26,285.1333333333333
6,A27,92.035
6,A30,366.735
6,A31,647.51
6,A32,437.5566666666667
6,A33,371.34
6,A34,34.02
6,A35,714.33
6,A36,738.68
6,A4,850.515
6,A40,526.9
6,A41,417.8966666666667
6,A42,461.91
6,A43,618.6366666666667
6,A44,285.32
6,A45,353.25
6,A46,414.4433333333333
6,A48,558.36
6,A49,961.67
6,A5,77.52
6,A7,924.59
6,A8,519.41
7,A1,622.43
7,A12,659.6166666666667
7,A18,844.02
7,A20,402.18
7,A21,879.83
7,A25,838.5
7,A39,564.29
7,A42,4.52
7,A44,377.61
7,A5,372.2533333333333
7,A7,682.74
8,A1,769.895
8,A10,656.43
8,A12,276.915
8,A13,650.15
8,A14,507.37
8,A15,422.53
8,A16,182.685
8,A17,506.05
8,A18,350.73
8,A19,556.8166666666667
8,A2,301.27
8,A22,995.78
8,A23,946.09
8,A25,104.19
8,A26,249.97
8,A28,343.93666666666667
8,A29,580.05
8,A31,352.16
8,A32,525.3050000000001
8,A33,359.45799999999997
8,A34,443.90500000000003
8,A35,260.38
8,A36,764.64
8,A37,165.48
8,A38,603.84
8,A39,390.8999999999999
8,A40,736.125
8,A42,894.86
8,A44,1.51
8,A45,40.93
8,A46,115.6
8,A6,1.8
8,A7,278.49
8,A8,305.1033333333333
8,A9,550.18
9,A12,173.13
9,A13,541.16
9,A14,750.7249999999999
9,A16,412.34
9,A18,661.97
9,A20,916.87
9,A22,345.52
9,A26,685.36
9,A28,807.54
9,A35,399.04999999999995
9,A4,163.78
9,A42,961.68
9,A43,843.61
9,A45,376.55
9,A47,667.0799999999999
9,A48,342.10499999999996
9,A49,340.89
9,A5,853.915
9,A9,581.97
10,A1,537.73
10,A10,808.56
10,A14,736.36
10,A16,415.555
10,A18,477.88
10,A19,238.10000000000002
10,A2,209.25
10,A20,237.76
10,A21,105.7
10,A27,402.72999999999996
10,A29,983.69
10,A34,190.78
10,A35,167.01
10,A37,825.315
10,A38,406.7
10,A4,702.4
10,A44,616.275
10,A45,628.63
10,A48,378.275
10,A7,561.355
11,A1,431.59
11,A10,228.63
11,A12,455.89
11,A13,866.21
11,A16,575.27
11,A17,550.95
11,A18,451.1
11,A2,642.27
11,A21,859.5450000000001
11,A23,510.09666666666664
11,A24,976.95
11,A26,262.38
11,A27,190.44
11,A28,779.8499999999999
11,A3,703.25
11,A30,252.14
11,A31,638.495
11,A32,540.485
11,A34,462.63
11,A35,729.28
11,A36,34.32
11,A37,812.64
11,A38,454.44
11,A39,51.55
11,A4,927.5
11,A41,228.81
11,A43,73.21
11,A44,368.48
11,A45,926.99
11,A46,519.905
11,A5,490.385
11,A7,431.06500000000005
12,A10,707.74
12,A13,169.16
12,A14,951.87
12,A16,185.88
12,A18,925.5699999999999
12,A2,536.59
12,A21,419.97
12,A22,945.83
12,A26,494.12
12,A29,521.56
12,A30,510.59
12,A31,497.1000000000001
12,A32,238.635
12,A35,616.97
12,A36,79.24
12,A38,70.94
12,A40,214.29
12,A43,649.53
12,A45,410.64
12,A46,281.83
12,A49,313.26
12,A5,682.815
12,A6,563.5500000000001
12,A7,71.23
12,A8,598.4449999999999
13,A12,959.1
13,A15,280.93
13,A19,60.08
13,A23,780.47
13,A28,904.17
13,A29,39.24
13,A3,374.49
13,A31,763.68
13,A35,490.92
13,A36,311.25
13,A39,658.47
13,A4,360.62
13,A41,859.51
13,A42,504.65999999999997
13,A43,293.12
13,A47,940.13
13,A49,652.76
13,A6,132.76
13,A8,240.13
14,A1,562.36
14,A10,966.73
14,A11,733.1
14,A14,82.48
14,A18,292.185
14,A2,132.56
14,A24,641.5
14,A29,999.67
14,A31,680.1433333333333
14,A35,589.36
14,A36,718.85
14,A38,780.74
14,A41,26.11
14,A43,770.4449999999999
14,A44,539.38
14,A45,669.29
14,A5,473.66
14,A6,249.09333333333333
14,A7,464.235
14,A9,806.7
15,A15,424.16
15,A23,632.01
15,A25,356.185
15,A26,222.74
15,A27,517.09
15,A36,1.54
15,A38,384.80999999999995
15,A42,480.3
15,A44,136.35
15,A45,67.43
15,A47,74.96
15,A49,272.66
15,A9,683.67
16,A10,815.31
16,A13,338.93
16,A14,10.86
16,A16,501.35
16,A19,701.03
16,A24,168.39
16,A29,538.08
16,A35,637.19
16,A36,377.01
16,A9,930.61
17,A11,694.53
17,A12,983.51
17,A13,591.11
17,A15,60.245
17,A16,802.54
17,A20,803.1
17,A24,587.77
17,A26,355.83500000000004
17,A30,690.385
17,A33,631.03
17,A34,513.9
17,A35,569.11
17,A36,717.84
17,A39,938.26
17,A40,912.76
17,A45,232.66
17,A47,449.42
17,A8,524.83
17,A9,981.74
18,A1,792.135
18,A10,351.1266666666667
18,A13,465.86
18,A14,503.58
18,A15,3.4
18,A18,450.83
18,A20,168.325
18,A26,13.19
18,A29,784.31
18,A3,179.37
18,A31,378.76
18,A34,983.24
18,A40,990.99
18,A5,605.31
18,A7,83.29
18,A9,715.5
19,A1,568.98
19,A10,19.01
19,A11,15.86
19,A17,754.54
19,A18,773.3199999999999
19,A19,863.7
19,A22,992.15
19,A23,727.98
19,A25,732.68
19,A28,306.6
19,A30,446.7
19,A36,190.37
19,A38,610.4
19,A4,388.94
19,A45,61.23
19,A47,139.81
19,A49,907.87
20,A1,966.52
20,A11,252.08999999999997
20,A13,564.0266666666666
20,A14,653.3466666666667
20,A18,695.15
20,A2,758.43
20,A22,801.255
20,A23,760.4133333333333
20,A24,895.78
20,A25,288.74
20,A26,197.4
20,A29,572.275
20,A31,160.35
20,A34,14.85
20,A35,255.57
20,A36,161.01
20,A39,613.095
20,A4,135.49666666666667
20,A40,479.665
20,A44,132.83
20,A45,62.03
20,A46,421.095
20,A47,544.4
20,A5,211.55
20,A7,537.4200000000001
20,A8,711.47
20,A9,231.62
21,A1,343.245
21,A14,306.85
21,A15,525.89
21,A17,372.85
21,A19,815.2
21,A23,672.24
21,A25,626.35
21,A27,158.61
21,A29,221.69
21,A3,899.49
21,A40,669.76
21,A43,193.25
21,A44,588.745
21,A48,371.13
21,A5,443.89
21,A7,759.84
21,A9,817.52
22,A1,350.29499999999996
22,A14,382.33
22,A18,237.57
22,A2,627.11
22,A21,355.28
22,A22,494.86
22,A24,353.21
22,A29,942.92
22,A3,199.6
22,A30,310.085
22,A33,980.05
22,A36,598.32
