transactionDay,accountId,category,avg(transactionAmount)
1,A1,DD,227.64
1,A10,BB,557.57
1,A10,CC,423.94
1,A13,DD,996.67
1,A13,GG,662.13
1,A14,CC,351.16
1,A14,DD,733.77
1,A14,FF,191.18
1,A16,CC,353.66
1,A16,BB,786.14
1,A16,EE,820.45
1,A17,AA,788.24
1,A18,GG,379.86
1,A19,BB,14.42
1,A2,DD,775.37
1,A20,GG,490.24
1,A21,GG,857.83
1,A23,BB,416.36
1,A25,AA,291.76
1,A27,GG,338.11
1,A29,FF,439.49
1,A31,DD,115.88
1,A32,DD,499.86
1,A32,EE,284.34
1,A33,BB,185.4
1,A33,GG,146.46
1,A33,DD,352.64
1,A34,AA,738.28
1,A35,AA,826.1
1,A35,FF,245.3
1,A35,EE,457.87
1,A35,DD,756.32
1,A4,DD,485.44
1,A4,EE,732.07
1,A40,FF,435.5
1,A41,FF,181.65
1,A42,DD,801.81
1,A42,GG,350.65
1,A43,AA,640.095
1,A43,CC,685.71
1,A44,AA,949.92
1,A44,EE,882.63
1,A44,FF,139.55
1,A44,CC,397.19
1,A45,GG,662.98
1,A46,FF,652.395
1,A47,BB,400.42
1,A48,AA,193.57
1,A49,DD,848.9
1,A5,CC,183.1
1,A5,BB,586.5550000000001
1,A7,DD,650.23
2,A10,BB,747.62
2,A11,AA,635.4866666666667
2,A11,BB,481.88
2,A12,EE,928.86
2,A12,FF,438.88
2,A13,FF,516.34
2,A13,EE,131.47
2,A13,GG,70.19
2,A15,DD,440.95500000000004
2,A17,BB,533.15
2,A21,EE,107.9
2,A21,BB,285.11
2,A23,AA,743.51
2,A23,EE,402.15
2,A24,EE,298.56
2,A27,CC,764.79
2,A27,FF,753.42
2,A28,CC,341.52
2,A28,FF,265.7
2,A29,EE,378.54499999999996
2,A3,DD,486.81
2,A30,GG,958.29
2,A31,FF,748.48
2,A33,BB,51.39
2,A34,FF,289.96000000000004
2,A35,GG,526.4
2,A35,FF,944.66
2,A37,CC,338.21
2,A4,CC,659.49
2,A40,DD,633.84
2,A42,DD,767.11
2,A46,AA,524.495
2,A48,AA,797.19
2,A49,GG,378.71
2,A5,BB,171.3
2,A6,EE,959.67
2,A6,BB,47.89
2,A7,EE,367.0
2,A8,AA,598.28
2,A8,GG,624.81
2,A8,BB,277.48
2,A8,EE,154.29
2,A8,CC,253.09
2,A8,FF,323.22
2,A9,BB,676.48
2,A9,DD,473.3
3,A12,EE,586.62
3,A14,EE,624.94
3,A18,AA,157.28
3,A20,BB,877.24
3,A23,DD,133.42
3,A26,GG,43.57
3,A28,CC,530.93
3,A29,EE,997.18
3,A3,EE,662.11
3,A30,GG,496.14
3,A30,FF,822.84
3,A34,EE,567.0
3,A34,GG,688.78
3,A36,EE,197.62
3,A39,CC,982.64
3,A41,BB,775.15
3,A44,AA,501.71
3,A45,CC,213.21
3,A45,BB,775.475
3,A5,CC,736.5
4,A1,FF,977.98
4,A10,CC,132.46
4,A12,EE,410.5
4,A12,DD,610.0
4,A13,EE,611.9
4,A14,GG,931.16
4,A14,AA,796.33
4,A14,CC,539.61
4,A15,BB,515.35
4,A15,DD,194.77
4,A16,FF,874.84
4,A17,AA,614.56
4,A18,GG,699.63
